Country_name,ISO3,REGION,subregion,regionalbodies,Measure_taxonomy,Measure_Category,Hard measure affecting the population,SOURCE_TYPE,Enforcement_taxonomy,Log_type
Afghanistan,AFG,Asia,Southern Asia,South Asian Association for Regional Cooperation (SAARC),Schools closureï¿,Social distancing,Yes,Government,Fines,Introduction / extension of measures
Armenia,ARM,Asia,Western Asia,,Economic measures,Governance and socio-economic measures,No,,Not available,
Albania,ALB,Europe,Southern Europe,,Border checksï¿,Movement restrictions,Yes,Media,Arrest/Detention,Phase-out measure
Algeria,DZA,Africa,Northern Africa,"African Union, Arab League",Border closureï¿,Movement restrictions,Yes,UN,Deportation,
Angola,AGO,Africa,Middle Africa,African Union,Closure of businesses and public services,Social distancing,Yes,Other organisations,Refusal to enter the country,
Antigua and Barbuda,ATG,Americas,Caribbean,Organization of American States (OAS),Isolation and quarantine policies,Public health measures,Yes,Social media,Legal action,
Argentina,ARG,Americas,South America,Organization of American States (OAS),Limit public gatherings,Social distancing,Yes,Other,Not applicable,
Australia,AUS,Pacific,Australia and New Zealand,,Awareness campaigns,Public health measures,No,,Other (add in comments),
Azerbaijan,AZE,Asia,Western Asia,,Health screenings in airports and border crossings,Public health measures,Yes,,,
Austria,AUT,Europe,Western Europe,European Union,International flights suspension,Movement restrictions,Yes,,Up to detention,
Bangladesh,BGD,Asia,Southern Asia,South Asian Association for Regional Cooperation (SAARC),Strengthening the public health system,Public health measures,No,,,
Bahamas,BHS,Americas,Caribbean,Organization of American States (OAS),Emergency administrative structures activated or established,Governance and socio-economic measures,Yes,,,
Bahrain,BHR,Middle East,Western Asia,Arab League,Domestic travel restrictions,Movement restrictions,Yes,,,
Bhutan,BTN,Asia,Southern Asia,South Asian Association for Regional Cooperation (SAARC),Changes in prison-related policies,Social distancing,No,,,
Barbados,BRB,Americas,Caribbean,Organization of American States (OAS),Limit product imports/exports,Governance and socio-economic measures,No,,,
Belarus,BLR,Europe,Eastern Europe,,Visa restrictions,Movement restrictions,Yes,,,
Belgium,BEL,Europe,Western Europe,European Union,Checkpoints within the country,Movement restrictions,Yes,,,
Belize,BLZ,Americas,Central America,Organization of American States (OAS),State of emergency declared,Governance and socio-economic measures,No,,,
