Country_name,ISO3,REGION,subregion,regionalbodies,Measure_taxonomy,Measure_Category,Hard measure affecting the population,SOURCE_TYPE,Enforcement_taxonomy,Log_type
Angola,AGO,Africa,Middle Africa,African Union,Closure of businesses and public services,Social distancing,Yes,Other organisations,Refusal to enter the country,
Benin,BEN,Africa,Western Africa,African Union,Additional health/documents requirements upon arrival,Movement restrictions,Yes,,,
Botswana,BWA,Africa,Southern Africa,African Union,Psychological assistance and medical social work,Public health measures,No,,,
Burkina Faso,BFA,Africa,Western Africa,African Union,Lockdown of refugee/idp camps or other minorities,Lockdown,Yes,,,
Burundi,BDI,Africa,Eastern Africa,African Union,Testing policy,Public health measures,Yes,,,
Cabo Verde,CPV,Africa,Western Africa,African Union,Military deployment,Governance and socio-economic measures,Yes,,,
Cameroon,CMR,Africa,Middle Africa,African Union,Curfews,Movement restrictions,Yes,,,
Central African Republic,CAF,Africa,Middle Africa,African Union,Partial lockdown,Lockdown,Yes,,,
Chad,TCD,Africa,Middle Africa,African Union,Humanitarian exemptions,Humanitarian exemption,No,,,
Congo,COG,Africa,Middle Africa,African Union,,,,,,
Congo DR,COD,Africa,Middle Africa,African Union,,,,,,
Cote d'Ivoire,CIV,Africa,Western Africa,African Union,,,,,,
Egypt,EGY,Africa,Northern Africa,African Union,,,,,,
Eritrea,ERI,Africa,Eastern Africa,African Union,,,,,,
Ethiopia,ETH,Africa,Eastern Africa,African Union,,,,,,
Gabon,GAB,Africa,Middle Africa,African Union,,,,,,
Gambia,GMB,Africa,Western Africa,African Union,,,,,,
Ghana,GHA,Africa,Western Africa,African Union,,,,,,
Guinea,GIN,Africa,Western Africa,African Union,,,,,,
Guinea-Bissau,GNB,Africa,Western Africa,African Union,,,,,,
Kenya,KEN,Africa,Eastern Africa,African Union,,,,,,
Lesotho,LSO,Africa,Southern Africa,African Union,,,,,,
Liberia,LBR,Africa,Western Africa,African Union,,,,,,
Libya,LBY,Africa,Northern Africa,African Union,,,,,,
Madagascar,MDG,Africa,Eastern Africa,African Union,,,,,,
Malawi,MWI,Africa,Eastern Africa,African Union,,,,,,
Mali,MLI,Africa,Western Africa,African Union,,,,,,
Mauritius,MUS,Africa,Eastern Africa,African Union,,,,,,
Mozambique,MOZ,Africa,Eastern Africa,African Union,,,,,,
Namibia,NAM,Africa,Southern Africa,African Union,,,,,,
Niger,NER,Africa,Western Africa,African Union,,,,,,
Nigeria,NGA,Africa,Western Africa,African Union,,,,,,
Rwanda,RWA,Africa,Eastern Africa,African Union,,,,,,
Sao Tome and Principe,STP,Africa,Middle Africa,African Union,,,,,,
Senegal,SEN,Africa,Western Africa,African Union,,,,,,
Seychelles,SYC,Africa,Eastern Africa,African Union,,,,,,
Sierra Leone,SLE,Africa,Western Africa,African Union,,,,,,
South Africa,ZAF,Africa,Southern Africa,African Union,,,,,,
South Sudan,SSD,Africa,Eastern Africa,African Union,,,,,,
Sudan,SDN,Africa,Northern Africa,African Union,,,,,,
Eswatini,SWZ,Africa,Southern Africa,African Union,,,,,,
Tanzania,TZA,Africa,Eastern Africa,African Union,,,,,,
Togo,TGO,Africa,Western Africa,African Union,,,,,,
Uganda,UGA,Africa,Eastern Africa,African Union,,,,,,
Zambia,ZMB,Africa,Eastern Africa,African Union,,,,,,
Zimbabwe,ZWE,Africa,Eastern Africa,African Union,,,,,,
Algeria,DZA,Africa,Northern Africa,"African Union, Arab League",Border closureï¿,Movement restrictions,Yes,UN,Deportation,
Comoros,COM,Africa,Eastern Africa,"African Union, Arab League",,,,,,
Djibouti,DJI,Africa,Eastern Africa,"African Union, Arab League",,,,,,
Equatorial Guinea,GNQ,Africa,Middle Africa,"African Union, Arab League",,,,,,
Mauritania,MRT,Africa,Western Africa,"African Union, Arab League",,,,,,
Morocco,MAR,Africa,Northern Africa,"African Union, Arab League",,,,,,
Somalia,SOM,Africa,Eastern Africa,"African Union, Arab League",,,,,,
Tunisia,TUN,Africa,Northern Africa,"African Union, Arab League",,,,,,
Bahrain,BHR,Middle East,Western Asia,Arab League,Domestic travel restrictions,Movement restrictions,Yes,,,
Iraq,IRQ,Middle East,Western Asia,Arab League,,,,,,
Jordan,JOR,Middle East,Western Asia,Arab League,,,,,,
Kuwait,KWT,Middle East,Western Asia,Arab League,,,,,,
Lebanon,LBN,Middle East,Western Asia,Arab League,,,,,,
Oman,OMN,Middle East,Western Asia,Arab League,,,,,,
Palestine,PSE,Middle East,Western Asia,Arab League,,,,,,
Qatar,QAT,Middle East,Western Asia,Arab League,,,,,,
Saudi Arabia,SAU,Middle East,Western Asia,Arab League,,,,,,
Syria,SYR,Middle East,Western Asia,Arab League,,,,,,
Turkey,TUR,Middle East,Western Asia,Arab League,,,,,,
United Arab Emirates,ARE,Middle East,Western Asia,Arab League,,,,,,
Yemen,YEM,Middle East,Western Asia,Arab League,,,,,,
Viet Nam,VNM,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Brunei Darussalam,BRN,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),Mass population testing,Public health measures,No,,,
Cambodia,KHM,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),Complete border closure,Movement restrictions,Yes,,,
Indonesia,IDN,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Lao PDR,LAO,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Malaysia,MYS,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Myanmar,MMR,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Philippines,PHL,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Singapore,SGP,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Thailand,THA,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Austria,AUT,Europe,Western Europe,European Union,International flights suspension,Movement restrictions,Yes,,Up to detention,
Belgium,BEL,Europe,Western Europe,European Union,Checkpoints within the country,Movement restrictions,Yes,,,
Bulgaria,BGR,Europe,Eastern Europe,European Union,Surveillance and monitoring,Movement restrictions,Yes,,,
Croatia,HRV,Europe,Southern Europe,European Union,,,,,,
Cyprus,CYP,Europe,Western Asia,European Union,,,,,,
Czech Republic,CZE,Europe,Eastern Europe,European Union,,,,,,
Denmark,DNK,Europe,Northern Europe,European Union,,,,,,
Estonia,EST,Europe,Northern Europe,European Union,,,,,,
Finland,FIN,Europe,Northern Europe,European Union,,,,,,
France,FRA,Europe,Western Europe,European Union,,,,,,
Germany,DEU,Europe,Western Europe,European Union,,,,,,
Greece,GRC,Europe,Southern Europe,European Union,,,,,,
Hungary,HUN,Europe,Eastern Europe,European Union,,,,,,
Ireland,IRL,Europe,Northern Europe,European Union,,,,,,
Italy,ITA,Europe,Southern Europe,European Union,,,,,,
Latvia,LVA,Europe,Northern Europe,European Union,,,,,,
Lithuania,LTU,Europe,Northern Europe,European Union,,,,,,
Luxembourg,LUX,Europe,Western Europe,European Union,,,,,,
Malta,MLT,Europe,Southern Europe,European Union,,,,,,
Netherlands,NLD,Europe,Western Europe,European Union,,,,,,
Poland,POL,Europe,Eastern Europe,European Union,,,,,,
Romania,ROU,Europe,Eastern Europe,European Union,,,,,,
Slovakia,SVK,Europe,Eastern Europe,European Union,,,,,,
Slovenia,SVN,Europe,Southern Europe,European Union,,,,,,
Spain,ESP,Europe,Southern Europe,European Union,,,,,,
Sweden,SWE,Europe,Northern Europe,European Union,,,,,,
Antigua and Barbuda,ATG,Americas,Caribbean,Organization of American States (OAS),Isolation and quarantine policies,Public health measures,Yes,Social media,Legal action,
Argentina,ARG,Americas,South America,Organization of American States (OAS),Limit public gatherings,Social distancing,Yes,Other,Not applicable,
Bahamas,BHS,Americas,Caribbean,Organization of American States (OAS),Emergency administrative structures activated or established,Governance and socio-economic measures,Yes,,,
Barbados,BRB,Americas,Caribbean,Organization of American States (OAS),Limit product imports/exports,Governance and socio-economic measures,No,,,
Belize,BLZ,Americas,Central America,Organization of American States (OAS),State of emergency declared,Governance and socio-economic measures,No,,,
Bolivia,BOL,Americas,South America,Organization of American States (OAS),General recommendations,Public health measures,No,,,
Brazil,BRA,Americas,South America,Organization of American States (OAS),Obligatory medical tests not related to COVID-19,Public health measures,No,,,
Canada,CAN,Americas,North America,Organization of American States (OAS),Amendments to funeral and burial regulations,Public health measures,No,,,
Chile,CHL,Americas,South America,Organization of American States (OAS),Requirement to wear protective gear in public,Public health measures,Yes,,,
Colombia,COL,Americas,South America,Organization of American States (OAS),,,,,,
Costa Rica,CRI,Americas,Central America,Organization of American States (OAS),,,,,,
Dominica,DMA,Americas,Caribbean,Organization of American States (OAS),,,,,,
Dominican Republic,DOM,Americas,Caribbean,Organization of American States (OAS),,,,,,
Ecuador,ECU,Americas,South America,Organization of American States (OAS),,,,,,
El Salvador,SLV,Americas,Central America,Organization of American States (OAS),,,,,,
Grenada,GRD,Americas,Caribbean,Organization of American States (OAS),,,,,,
Guatemala,GTM,Americas,Central America,Organization of American States (OAS),,,,,,
Guyana,GUY,Americas,South America,Organization of American States (OAS),,,,,,
Haiti,HTI,Americas,Caribbean,Organization of American States (OAS),,,,,,
Honduras,HND,Americas,Central America,Organization of American States (OAS),,,,,,
Jamaica,JAM,Americas,Caribbean,Organization of American States (OAS),,,,,,
Mexico,MEX,Americas,Central America,Organization of American States (OAS),,,,,,
Nicaragua,NIC,Americas,Central America,Organization of American States (OAS),,,,,,
Panama,PAN,Americas,Central America,Organization of American States (OAS),,,,,,
Paraguay,PRY,Americas,South America,Organization of American States (OAS),,,,,,
Peru,PER,Americas,South America,Organization of American States (OAS),,,,,,
Saint Kitts and Nevis,KNA,Americas,Caribbean,Organization of American States (OAS),,,,,,
Saint Lucia,LCA,Americas,Caribbean,Organization of American States (OAS),,,,,,
Saint Vincent and the Grenadines,VCT,Americas,Caribbean,Organization of American States (OAS),,,,,,
